*	alice29.txt=2.785329835010767,cp.html=3.1398790864012365,asyoulik.txt=2.1760912590556813,fields.c=3.7151673578484576,grammar.lsp=2.732393759822968,lcet10.txt=3.814913181275074,plrabn12.txt=2.0,xargs.1=1.8450980400142567,8
12000*	lcet10.txt=1.0,1
123*	xargs.1=1.0,1
1230*	lcet10.txt=1.3010299956639813,1
124*	xargs.1=1.0,1
125*	xargs.1=1.0,1
126*	xargs.1=1.0,1
127*	xargs.1=1.0,1
12th*	cp.html=1.6989700043360187,1
13*	fields.c=1.0,lcet10.txt=1.0,2
130*	lcet10.txt=1.6020599913279623,1
1314*	lcet10.txt=1.3010299956639813,1
132*	lcet10.txt=1.3010299956639813,1
135*	lcet10.txt=1.4771212547196624,1
135000*	lcet10.txt=1.4771212547196624,1
14*	fields.c=1.0,1
140*	lcet10.txt=1.0,1
1400*	lcet10.txt=1.0,1
14853*	lcet10.txt=1.3010299956639813,1
14n*	lcet10.txt=1.4771212547196624,1
15*	fields.c=1.0,lcet10.txt=1.6989700043360187,2
150*	lcet10.txt=1.6020599913279623,1
15247*	lcet10.txt=1.0,1
16*	fields.c=1.0,1
160*	lcet10.txt=1.0,1
167a*	lcet10.txt=1.0,1
169*	lcet10.txt=1.0,1
16th*	lcet10.txt=1.3010299956639813,1
17*	fields.c=1.3010299956639813,1
171*	lcet10.txt=1.0,1
174802*	fields.c=1.0,1
1870*	lcet10.txt=1.0,1
18701910*	lcet10.txt=1.0,1
1885*	lcet10.txt=1.0,1
18th*	cp.html=1.6989700043360187,1
19*	lcet10.txt=1.0,1
1900*	lcet10.txt=1.0,1
1900s*	lcet10.txt=1.0,1
1908to*	lcet10.txt=1.0,1
1910*	lcet10.txt=1.0,1
1911*	lcet10.txt=1.0,1
1920*	lcet10.txt=1.0,1
1940s*	lcet10.txt=1.0,1
1949*	lcet10.txt=1.3010299956639813,1
1964*	lcet10.txt=1.0,1
19641965*	plrabn12.txt=1.3010299956639813,1
1969*	lcet10.txt=1.0,1
1980*	lcet10.txt=1.0,1
198081*	lcet10.txt=1.3010299956639813,1
1980s*	lcet10.txt=1.0,1
1985*	lcet10.txt=1.3010299956639813,1
1986*	lcet10.txt=1.0,1
1987*	lcet10.txt=1.4771212547196624,1
1987i*	cp.html=1.0,1
1988*	lcet10.txt=1.3010299956639813,1
1989*	lcet10.txt=1.0,1
1990*	lcet10.txt=1.3010299956639813,1
1990i*	cp.html=1.0,1
1991*	lcet10.txt=1.9030899869919433,plrabn12.txt=1.3010299956639813,2
1991of*	lcet10.txt=1.0,1
1992*	lcet10.txt=2.113943352306837,plrabn12.txt=1.0,2
1993*	lcet10.txt=1.4771212547196624,1
19930825*	fields.c=1.0,1
19930826*	fields.c=1.0,1
19930909*	fields.c=1.0,1
19930927*	fields.c=1.0,1
1994*	lcet10.txt=1.0,1
19940104*	fields.c=1.0,1
19940105*	fields.c=1.0,1
19940106*	fields.c=1.3010299956639813,1
19941995*	lcet10.txt=1.0,1
1995i*	cp.html=1.0,1
1996*	cp.html=1.0,1
19960311i*	cp.html=1.3010299956639813,1
19960412i*	cp.html=1.3010299956639813,1
19960422i*	cp.html=1.0,1
19960422iimg*	cp.html=1.3010299956639813,1
19960610i*	cp.html=1.3010299956639813,1
1996i*	cp.html=2.322219294733919,1
1996iimg*	cp.html=1.0,1
1fp*	xargs.1=1.0,1
1l*	xargs.1=1.0,1
1megabyte*	lcet10.txt=1.0,1
1st*	cp.html=1.0,1
1sti*	cp.html=1.0,1
2*	fields.c=1.3010299956639813,grammar.lsp=1.3010299956639813,lcet10.txt=2.785329835010767,3
20*	fields.c=1.0,lcet10.txt=1.3010299956639813,2
200*	lcet10.txt=1.6989700043360187,1
2000*	lcet10.txt=1.3010299956639813,1
20005*	lcet10.txt=1.0,1
20005000*	lcet10.txt=1.0,1
20030*	lcet10.txt=1.0,1
20036*	lcet10.txt=1.0,1
200362217*	lcet10.txt=1.0,1
20057*	lcet10.txt=1.0,1
200odd*	lcet10.txt=1.0,1
201*	lcet10.txt=1.4771212547196624,1
201343*	fields.c=1.0,1
202*	lcet10.txt=2.7993405494535812,1
202085644*	lcet10.txt=1.0,1
203*	lcet10.txt=1.3010299956639813,1
20408*	lcet10.txt=1.4771212547196624,1
20506*	lcet10.txt=1.4771212547196624,1
207052351*	lcet10.txt=1.3010299956639813,1
207427011*	lcet10.txt=1.0,1
20879*	lcet10.txt=1.0,1
20894*	lcet10.txt=1.0,1
208l7*	lcet10.txt=1.0,1
20910*	lcet10.txt=1.0,1
20k*	xargs.1=1.0,1
212181404*	lcet10.txt=1.0,1
213205*	fields.c=1.0,1
2192106*	lcet10.txt=1.0,1
2192200*	lcet10.txt=1.0,1
223l4*	lcet10.txt=1.3010299956639813,1
226*	lcet10.txt=1.0,1
22903*	lcet10.txt=1.0,1
229032498*	lcet10.txt=1.0,1
22th*	cp.html=1.3010299956639813,1
2350763*	lcet10.txt=1.0,1
238*	lcet10.txt=1.0,1
24*	lcet10.txt=1.0,1
2400*	lcet10.txt=1.0,1
2400baud*	lcet10.txt=1.0,1
250*	lcet10.txt=1.0,1
25000*	lcet10.txt=1.3010299956639813,1
255*	xargs.1=1.0,1
2553393*	lcet10.txt=1.0,1
2556875*	lcet10.txt=1.0,1
2559346*	lcet10.txt=1.3010299956639813,1
2700*	lcet10.txt=1.0,1
28*	lcet10.txt=1.0,1
29*	alice29.txt=1.0,1
2900*	lcet10.txt=1.0,1
29th*	cp.html=1.0,1
2a385*	lcet10.txt=1.0,1
2s6*	lcet10.txt=1.0,1
3*	fields.c=1.4771212547196624,grammar.lsp=1.6020599913279623,lcet10.txt=2.4913616938342726,3
30*	lcet10.txt=1.3010299956639813,1
300*	lcet10.txt=2.113943352306837,1
3000*	lcet10.txt=1.0,1
30000*	lcet10.txt=1.0,1
300000*	lcet10.txt=1.3010299956639813,1
300page*	lcet10.txt=1.3010299956639813,1
301*	lcet10.txt=2.0791812460476247,1
30520541*	cp.html=1.0,1
31000*	lcet10.txt=1.0,1
312*	lcet10.txt=1.3010299956639813,1
3149865*	lcet10.txt=1.0,1
318*	lcet10.txt=1.0,1
319*	lcet10.txt=1.0,1
32*	lcet10.txt=1.0,1
3266735*	lcet10.txt=1.0,1
330*	lcet10.txt=1.4771212547196624,1
350*	lcet10.txt=1.0,1
3500*	lcet10.txt=1.4771212547196624,1
3500040000*	lcet10.txt=1.0,1
380*	lcet10.txt=1.0,1
384*	lcet10.txt=1.3010299956639813,1
386*	lcet10.txt=1.0,1
4*	fields.c=1.6020599913279623,grammar.lsp=1.4771212547196624,lcet10.txt=2.380211241711606,3
400*	lcet10.txt=1.6989700043360187,1
4000*	lcet10.txt=1.3010299956639813,1
400012000*	lcet10.txt=1.0,1
401*	lcet10.txt=1.3010299956639813,1
4015*	lcet10.txt=1.0,1
4020341*	lcet10.txt=1.0,1
403*	lcet10.txt=1.0,1
4059194*	lcet10.txt=1.0,1
410*	lcet10.txt=1.0,1
4130317*	lcet10.txt=1.0,1
415*	lcet10.txt=1.3010299956639813,1
422*	lcet10.txt=1.0,1
43017*	lcet10.txt=1.0,1
432*	lcet10.txt=1.0,1
4324889*	lcet10.txt=1.0,1
4327231*	lcet10.txt=1.0,1
435*	lcet10.txt=1.0,1
445*	lcet10.txt=1.0,1
45*	lcet10.txt=1.3010299956639813,1
45150*	lcet10.txt=1.0,1
45mbps*	lcet10.txt=1.0,1
47*	lcet10.txt=1.0,1
486*	lcet10.txt=1.0,plrabn12.txt=1.0,2
4950456*	lcet10.txt=1.0,1
4959025*	lcet10.txt=1.0,1
4964496*	lcet10.txt=1.0,1
4968886*	lcet10.txt=1.0,1
5*	fields.c=1.0,grammar.lsp=1.4771212547196624,lcet10.txt=2.1461280356782377,3
50*	lcet10.txt=1.0,1
500*	lcet10.txt=1.4771212547196624,1
50000*	lcet10.txt=1.0,1
5015512*	lcet10.txt=1.3010299956639813,1
5015532*	lcet10.txt=1.0,1
5015533*	lcet10.txt=1.0,1
5015540*	lcet10.txt=1.0,1
5015544*	lcet10.txt=1.0,1
502*	lcet10.txt=1.0,1
504*	lcet10.txt=1.0,1
5045853*	lcet10.txt=1.0,1
5046813*	lcet10.txt=1.3010299956639813,1
5047473*	lcet10.txt=1.3010299956639813,1
510*	lcet10.txt=1.3010299956639813,1
512*	fields.c=1.0,1
513*	lcet10.txt=1.0,1
514*	lcet10.txt=1.3010299956639813,1
5210*	lcet10.txt=1.0,1
530*	lcet10.txt=1.0,1
540*	lcet10.txt=1.0,1
555*	lcet10.txt=1.0,1
56*	lcet10.txt=1.3010299956639813,1
5646750*	lcet10.txt=1.0,1
5646867*	lcet10.txt=1.0,1
57*	lcet10.txt=1.3010299956639813,1
5872711*	lcet10.txt=1.0,1
5878202*	lcet10.txt=1.0,1
5th*	cp.html=1.0,1
6*	lcet10.txt=1.6989700043360187,fields.c=1.0,grammar.lsp=1.0,3
60*	lcet10.txt=1.3010299956639813,1
600*	lcet10.txt=2.113943352306837,1
6000*	lcet10.txt=1.3010299956639813,1
60000*	lcet10.txt=1.0,1
60007000page*	lcet10.txt=1.0,1
600dotsperinch*	lcet10.txt=1.0,1
600dpi*	lcet10.txt=1.6989700043360187,1
602*	lcet10.txt=1.0,1
603*	lcet10.txt=1.3010299956639813,1
60680*	lcet10.txt=1.0,1
607*	lcet10.txt=1.6020599913279623,1
608*	lcet10.txt=1.0,1
60percent*	lcet10.txt=1.0,1
60s*	plrabn12.txt=1.0,1
611*	lcet10.txt=1.0,1
612*	lcet10.txt=1.0,1
614*	lcet10.txt=1.3010299956639813,1
617*	lcet10.txt=1.4771212547196624,1
619*	lcet10.txt=1.0,1
62*	lcet10.txt=1.0,1
620*	lcet10.txt=1.3010299956639813,1
630*	lcet10.txt=1.0,1
639*	lcet10.txt=1.3010299956639813,1
64*	lcet10.txt=1.0,1
642*	lcet10.txt=1.0,1
6430*	lcet10.txt=1.0,1
65*	lcet10.txt=1.0,1
650*	lcet10.txt=1.3010299956639813,1
6565*	lcet10.txt=1.0,1
670*	lcet10.txt=1.0,1
6837589*	lcet10.txt=1.3010299956639813,1
6876003*	lcet10.txt=1.0,1
6876096*	lcet10.txt=1.0,1
6998*	lcet10.txt=1.0,1
7*	fields.c=1.6020599913279623,grammar.lsp=1.0,lcet10.txt=1.6020599913279623,3
700*	lcet10.txt=1.3010299956639813,1
701*	lcet10.txt=1.0,1
703*	lcet10.txt=1.3010299956639813,1
7070180*	lcet10.txt=1.0,1
7071219*	lcet10.txt=1.0,1
7071490*	lcet10.txt=1.0,1
7071517*	lcet10.txt=1.0,1
7072829*	lcet10.txt=1.3010299956639813,1
7073764*	lcet10.txt=1.6020599913279623,1
7074157*	lcet10.txt=1.3010299956639813,1
7075092*	lcet10.txt=1.0,1
7075097*	lcet10.txt=1.3010299956639813,1
7075194*	lcet10.txt=1.0,1
7075213*	lcet10.txt=1.0,1
7075333*	lcet10.txt=1.0,1
7075383*	lcet10.txt=1.0,1
7075389*	lcet10.txt=1.0,1
7075607*	lcet10.txt=1.0,1
7076027*	lcet10.txt=1.0,1
7076151*	lcet10.txt=1.0,1
7076233*	lcet10.txt=1.6989700043360187,1
7076237*	lcet10.txt=1.0,1
7076293*	lcet10.txt=1.0,1
7076560*	lcet10.txt=1.0,1
7076928*	lcet10.txt=1.0,1
7077050*	lcet10.txt=1.0,1
7077169*	lcet10.txt=1.0,1
7077706*	lcet10.txt=1.0,1
7078345*	lcet10.txt=1.0,1
7078350*	lcet10.txt=1.0,1
7078366*	lcet10.txt=1.0,1
7079104*	lcet10.txt=1.0,1
7079628*	lcet10.txt=1.0,1
7079688*	lcet10.txt=1.0,1
7079898*	lcet10.txt=1.0,1
70s*	plrabn12.txt=1.0,1
740*	lcet10.txt=1.0,1
75000*	lcet10.txt=1.0,1
75205l5*	lcet10.txt=1.3010299956639813,1
7642344*	lcet10.txt=1.0,1
764608l*	lcet10.txt=1.0,1
7842298*	lcet10.txt=1.0,1
7860243*	lcet10.txt=1.4771212547196624,1
7860358*	lcet10.txt=1.0,1
7860570*	lcet10.txt=1.0,1
7860577*	lcet10.txt=1.0,1
7867559*	lcet10.txt=1.0,1
78rpm*	lcet10.txt=1.0,1
7th*	cp.html=1.3010299956639813,lcet10.txt=1.4771212547196624,2
8*	grammar.lsp=1.3010299956639813,lcet10.txt=1.3010299956639813,2
80*	plrabn12.txt=1.3010299956639813,lcet10.txt=1.4771212547196624,2
800*	lcet10.txt=1.3010299956639813,1
8000*	lcet10.txt=1.0,1
800000*	plrabn12.txt=1.0,1
802*	lcet10.txt=1.3010299956639813,1
804*	lcet10.txt=1.3010299956639813,1
8294070*	lcet10.txt=1.0,1
8295981*	lcet10.txt=1.0,1
830*	lcet10.txt=1.3010299956639813,1
8393573*	lcet10.txt=1.0,1
8422868*	lcet10.txt=1.0,1
85*	lcet10.txt=1.0,1
8600*	lcet10.txt=1.0,1
8637312*	lcet10.txt=1.0,1
8637329*	lcet10.txt=1.0,1
8724541*	lcet10.txt=1.0,1
8th*	lcet10.txt=1.0,1
9*	fields.c=1.3010299956639813,grammar.lsp=1.0,lcet10.txt=1.0,3
90*	lcet10.txt=1.0,1
900*	lcet10.txt=1.3010299956639813,1
908*	lcet10.txt=1.3010299956639813,1
910*	lcet10.txt=1.4771212547196624,1
916*	lcet10.txt=1.3010299956639813,1
920*	lcet10.txt=1.0,1
9240523*	lcet10.txt=1.0,1
9241803*	lcet10.txt=1.0,1
9244337*	lcet10.txt=1.0,1
9321384*	lcet10.txt=1.0,1
9321386*	lcet10.txt=1.0,1
9393400*	lcet10.txt=1.0,1
9393407*	lcet10.txt=1.0,1
9397001*	lcet10.txt=1.0,1
9397020*	lcet10.txt=1.0,1
94002*	lcet10.txt=1.0,1
946123350*	lcet10.txt=1.0,1
9480150*	lcet10.txt=1.0,1
9485793*	lcet10.txt=1.0,1
95*	lcet10.txt=1.0,1
95678*	lcet10.txt=1.0,1
985*	lcet10.txt=1.0,1
9870522*	lcet10.txt=1.0,1
995*	lcet10.txt=1.0,1
9966834*	lcet10.txt=1.0,1
9995*	lcet10.txt=1.9030899869919433,1
9999*	lcet10.txt=1.0,1
99percent*	lcet10.txt=1.0,1
9l5*	lcet10.txt=1.0,1
9th*	cp.html=1.0,1
a*	xargs.1=1.9030899869919433,alice29.txt=3.7972675408307164,asyoulik.txt=3.662757831681574,cp.html=3.1958996524092336,fields.c=2.361727836017593,grammar.lsp=1.9030899869919433,lcet10.txt=4.151676230847047,plrabn12.txt=3.740362689494243,8
aa*	cp.html=1.0,1
aaas*	lcet10.txt=1.9030899869919433,1
aaass*	lcet10.txt=1.0,1
aap*	lcet10.txt=1.9542425094393248,1
aaron*	plrabn12.txt=1.0,1
aarons*	plrabn12.txt=1.0,1
abandon*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
abandond*	asyoulik.txt=1.3010299956639813,1
abandoned*	plrabn12.txt=1.3010299956639813,1
abandonwhich*	asyoulik.txt=1.0,1
abarim*	plrabn12.txt=1.0,1
abashed*	plrabn12.txt=1.6989700043360187,1
abassin*	plrabn12.txt=1.0,1
abated*	plrabn12.txt=1.0,1
abating*	lcet10.txt=1.0,1
abbana*	plrabn12.txt=1.0,1
abbe*	lcet10.txt=1.0,1
abdiel*	plrabn12.txt=1.6989700043360187,1
abed*	asyoulik.txt=1.0,1
abhor*	asyoulik.txt=1.0,plrabn12.txt=1.4771212547196624,2
abhorred*	plrabn12.txt=1.6020599913279623,1
abhorrest*	plrabn12.txt=1.0,1
abide*	alice29.txt=1.0,plrabn12.txt=1.4771212547196624,2
abides*	plrabn12.txt=1.3010299956639813,1
ability*	lcet10.txt=2.414973347970818,1
abject*	plrabn12.txt=1.6020599913279623,1
abjure*	plrabn12.txt=1.0,1
able*	plrabn12.txt=1.8450980400142567,alice29.txt=1.0,asyoulik.txt=1.0,lcet10.txt=2.462397997898956,4
abode*	plrabn12.txt=1.4771212547196624,1
abolish*	plrabn12.txt=1.4771212547196624,1
abolished*	plrabn12.txt=1.0,1
abominable*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
abominations*	plrabn12.txt=1.0,1
abortive*	plrabn12.txt=1.4771212547196624,1
abound*	plrabn12.txt=1.3010299956639813,1
abounded*	plrabn12.txt=1.0,1
abounds*	plrabn12.txt=1.0,1
about*	alice29.txt=2.9731278535996983,asyoulik.txt=1.8450980400142567,cp.html=1.0,lcet10.txt=3.0899051114393976,plrabn12.txt=2.5314789170422554,xargs.1=1.0,6
above*	alice29.txt=1.4771212547196624,asyoulik.txt=1.0,lcet10.txt=1.6989700043360187,plrabn12.txt=2.7993405494535812,4
abraham*	plrabn12.txt=1.6989700043360187,1
abrahams*	plrabn12.txt=1.3010299956639813,1
abreast*	lcet10.txt=1.0,1
abroad*	plrabn12.txt=1.0,1
abrupt*	plrabn12.txt=1.0,1
abruptly*	asyoulik.txt=1.0,1
absence*	alice29.txt=1.0,asyoulik.txt=1.0,lcet10.txt=1.4771212547196624,plrabn12.txt=1.6989700043360187,4
absent*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.4771212547196624,2
absents*	plrabn12.txt=1.3010299956639813,1
absolute*	lcet10.txt=1.0,plrabn12.txt=1.9030899869919433,2
absolutely*	lcet10.txt=1.4771212547196624,plrabn12.txt=1.0,2
absolve*	plrabn12.txt=1.3010299956639813,1
absolved*	plrabn12.txt=1.0,1
absorbing*	lcet10.txt=1.0,1
abstain*	plrabn12.txt=1.6020599913279623,1
abstained*	plrabn12.txt=1.0,1
abstinence*	plrabn12.txt=1.0,1
abstract*	plrabn12.txt=1.0,lcet10.txt=1.4771212547196624,2
abstracted*	plrabn12.txt=1.0,1
abstracting*	lcet10.txt=1.0,1
abstraction*	lcet10.txt=1.0,1
abstracts*	lcet10.txt=2.041392685158225,1
abstruse*	plrabn12.txt=1.0,1
abstrusest*	plrabn12.txt=1.0,1
absurd*	alice29.txt=1.3010299956639813,1
abundance*	plrabn12.txt=1.4771212547196624,1
abundant*	plrabn12.txt=1.3010299956639813,1
abundantly*	plrabn12.txt=1.0,1
abuse*	plrabn12.txt=1.3010299956639813,1
abused*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
abuses*	asyoulik.txt=1.3010299956639813,1
abyss*	plrabn12.txt=2.2552725051033056,1
ac2i*	cp.html=1.0,1
academic*	lcet10.txt=2.113943352306837,1
academics*	lcet10.txt=1.0,1
acanthus*	plrabn12.txt=1.0,1
accaron*	plrabn12.txt=1.0,1
accelerating*	lcet10.txt=1.0,1
accent*	plrabn12.txt=1.3010299956639813,asyoulik.txt=1.0,2
accept*	plrabn12.txt=1.9030899869919433,lcet10.txt=1.6020599913279623,2
acceptability*	lcet10.txt=1.0,1
acceptable*	lcet10.txt=1.6989700043360187,plrabn12.txt=1.0,2
acceptance*	alice29.txt=1.0,lcet10.txt=1.3010299956639813,plrabn12.txt=1.6989700043360187,3
acceptances*	lcet10.txt=1.0,1
accepted*	lcet10.txt=1.7781512503836434,plrabn12.txt=1.6020599913279623,2
accepting*	lcet10.txt=1.4771212547196624,1
access*	asyoulik.txt=1.0,lcet10.txt=3.123851640967086,plrabn12.txt=1.8450980400142567,3
accessa*	lcet10.txt=1.0,1
accessed*	lcet10.txt=1.6020599913279623,1
accessibility*	lcet10.txt=1.3010299956639813,1
accessible*	lcet10.txt=2.2041199826559246,plrabn12.txt=1.0,2
accessing*	lcet10.txt=1.4771212547196624,1
accessories*	plrabn12.txt=1.0,1
accessquality*	lcet10.txt=1.0,1
accesswherever*	lcet10.txt=1.0,1
accident*	alice29.txt=1.3010299956639813,plrabn12.txt=1.0,2
accidentally*	alice29.txt=1.0,1
acclaim*	plrabn12.txt=1.4771212547196624,1
acclamation*	plrabn12.txt=1.0,1
acclamations*	plrabn12.txt=1.0,1
accommodate*	lcet10.txt=1.4771212547196624,1
accommodated*	lcet10.txt=1.0,1
accommodating*	lcet10.txt=1.0,1
accompanied*	lcet10.txt=1.4771212547196624,plrabn12.txt=1.6989700043360187,2
accompanies*	lcet10.txt=1.0,1
accompany*	lcet10.txt=1.3010299956639813,1
accompanying*	lcet10.txt=1.4771212547196624,1
accomplish*	lcet10.txt=1.6989700043360187,1
accomplishd*	plrabn12.txt=1.0,1
accomplished*	lcet10.txt=1.7781512503836434,plrabn12.txt=1.3010299956639813,2
accomplishing*	lcet10.txt=1.0,plrabn12.txt=1.0,2
accord*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.3010299956639813,2
accordance*	lcet10.txt=1.0,1
according*	asyoulik.txt=1.4771212547196624,lcet10.txt=1.8450980400142567,plrabn12.txt=1.6020599913279623,3
accost*	plrabn12.txt=1.0,1
accosts*	plrabn12.txt=1.0,1
account*	alice29.txt=1.0,lcet10.txt=1.7781512503836434,plrabn12.txt=1.7781512503836434,3
accountable*	plrabn12.txt=1.3010299956639813,1
accounting*	alice29.txt=1.0,lcet10.txt=1.0,2
accounts*	alice29.txt=1.0,1
accoutrements*	asyoulik.txt=1.0,1
accreditation*	lcet10.txt=1.0,1
accredited*	lcet10.txt=1.4771212547196624,1
accuracy*	lcet10.txt=2.3979400086720375,1
accurate*	lcet10.txt=1.7781512503836434,1
accurately*	lcet10.txt=1.0,1
accursed*	plrabn12.txt=1.9542425094393248,1
accusation*	plrabn12.txt=1.0,alice29.txt=1.0,2
accuse*	plrabn12.txt=1.7781512503836434,1
accused*	plrabn12.txt=1.3010299956639813,1
accuser*	plrabn12.txt=1.3010299956639813,1
accustomd*	asyoulik.txt=1.0,1
accustomed*	alice29.txt=1.0,lcet10.txt=1.6020599913279623,plrabn12.txt=1.3010299956639813,3
acelp*	cp.html=1.0,1
ache*	alice29.txt=1.0,1
acheron*	plrabn12.txt=1.0,1
achieve*	lcet10.txt=1.3010299956639813,plrabn12.txt=1.0,2
achieved*	lcet10.txt=2.0,plrabn12.txt=1.8450980400142567,2
achieving*	lcet10.txt=1.0,plrabn12.txt=1.0,2
achilles*	plrabn12.txt=1.0,1
acid*	lcet10.txt=1.6989700043360187,1
acidfree*	lcet10.txt=1.6020599913279623,1
acknowledge*	grammar.lsp=1.4771212547196624,plrabn12.txt=1.6020599913279623,2
acknowledged*	plrabn12.txt=1.4771212547196624,lcet10.txt=1.8450980400142567,2
acknowledgements*	lcet10.txt=1.4771212547196624,1
acknowledging*	lcet10.txt=1.3010299956639813,1
acls*	lcet10.txt=1.0,1
acorn*	asyoulik.txt=1.0,1
acquaint*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.0,2
acquaintance*	asyoulik.txt=1.4771212547196624,lcet10.txt=1.0,2
acquainted*	asyoulik.txt=1.3010299956639813,lcet10.txt=1.0,2
acquire*	lcet10.txt=1.8450980400142567,1
acquires*	lcet10.txt=1.3010299956639813,1
acquiring*	lcet10.txt=1.6989700043360187,1
acquisition*	lcet10.txt=1.3010299956639813,1
acquit*	asyoulik.txt=1.0,1
acquittance*	plrabn12.txt=1.0,1
acquitted*	plrabn12.txt=1.0,1
acres*	asyoulik.txt=1.0,1
acronym*	lcet10.txt=1.3010299956639813,1
acropolis*	lcet10.txt=1.0,1
across*	lcet10.txt=2.380211241711606,alice29.txt=1.6989700043360187,2
acs*	lcet10.txt=2.0,1
acss*	lcet10.txt=1.0,1
act*	alice29.txt=1.0,asyoulik.txt=2.342422680822206,lcet10.txt=1.6020599913279623,plrabn12.txt=2.1760912590556813,4
acting*	lcet10.txt=1.0,1
action*	asyoulik.txt=1.0,lcet10.txt=1.6020599913279623,plrabn12.txt=1.4771212547196624,3
actionoriented*	lcet10.txt=1.0,1
actions*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.4771212547196624,2
active*	lcet10.txt=1.8450980400142567,plrabn12.txt=1.3010299956639813,2
actively*	lcet10.txt=1.3010299956639813,1
activities*	lcet10.txt=1.9030899869919433,1
activitiesand*	lcet10.txt=1.0,1
activity*	lcet10.txt=1.8450980400142567,1
actor*	asyoulik.txt=1.0,1
acts*	plrabn12.txt=1.9542425094393248,asyoulik.txt=1.0,lcet10.txt=1.0,3
actual*	plrabn12.txt=1.0,lcet10.txt=2.041392685158225,2
actually*	alice29.txt=1.0,lcet10.txt=1.4771212547196624,plrabn12.txt=1.3010299956639813,3
ad*	lcet10.txt=1.0,1
ada*	alice29.txt=1.0,1
adam*	asyoulik.txt=2.361727836017593,plrabn12.txt=2.9731278535996983,2
adamant*	plrabn12.txt=1.6020599913279623,1
adamantine*	plrabn12.txt=1.6020599913279623,1
adams*	lcet10.txt=1.4771212547196624,plrabn12.txt=1.9030899869919433,2
adapt*	lcet10.txt=1.6020599913279623,1
adaptable*	lcet10.txt=1.0,1
adapted*	lcet10.txt=1.0,1
adaptive*	cp.html=1.6020599913279623,1
add*	cp.html=1.0,fields.c=1.6020599913279623,lcet10.txt=1.7781512503836434,plrabn12.txt=2.0,4
added*	lcet10.txt=2.2041199826559246,alice29.txt=2.361727836017593,plrabn12.txt=1.7781512503836434,3
adder*	plrabn12.txt=1.0,1
adding*	alice29.txt=1.0,lcet10.txt=1.4771212547196624,2
addition*	lcet10.txt=2.113943352306837,plrabn12.txt=1.3010299956639813,2
additional*	lcet10.txt=2.3979400086720375,1
address*	lcet10.txt=1.8450980400142567,plrabn12.txt=1.0,2
addressd*	asyoulik.txt=1.0,1
addressed*	lcet10.txt=1.9542425094393248,alice29.txt=1.3010299956639813,plrabn12.txt=1.6989700043360187,3
addresses*	lcet10.txt=1.3010299956639813,1
addressing*	alice29.txt=1.0,lcet10.txt=1.3010299956639813,2
adds*	lcet10.txt=1.3010299956639813,1
